file	status	line_ranges_reviewed	verdict	notes
.hermes/plans/2026-06-02-e-booklet-v2-subagent-execution-tracker.md	read	1-410	APPROVED	scope/control artifact for Phase 7/8 review
.hermes/plans/2026-06-15-phase-8-parallel-orchestration.md	read	1-77	APPROVED	scope/control artifact for Phase 7/8 review
.hermes/reviews/e-booklet-admin-editor-full-browser-proof/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/e-booklet-auth-e2e-followup/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/e-booklet-remaining-browser-proof/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/fekra-e-booklet-v2/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/kalima-e-booklet-required-blocker-fix/critique-report.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/kalima-e-booklet-required-blocker-fix/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/critique-report.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/handoff.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/ruthless-line-review.md	out_of_scope	N/A	OUT_OF_SCOPE	not Phase 7 expiry/analytics or Phase 8 browser QA/blank-page scope
